method,function_name,target,run_id,found,validated,best_chromosome,best_fitness,reached_branch,generation,evaluations,runtime,actual_output,actual_validated
RANDOM,bmi_category,obese,0,True,True,"[2619.003333990445, 5.771470846855142]",0.0,obese,0,58,4.887499380856752e-05,obese,True
RANDOM,bmi_category,obese,1,True,True,"[276.8411630342377, 0.22326103970304878]",0.0,obese,0,547,0.000418499999796,obese,True
RANDOM,bmi_category,obese,2,True,True,"[2688.1259645616424, 1.2475326978476087]",0.0,obese,0,195,0.0001437500031897,obese,True
RANDOM,bmi_category,obese,3,True,True,"[2923.798843713293, 7.258453025458134]",0.0,obese,0,215,0.000156958005391,obese,True
RANDOM,bmi_category,obese,4,True,True,"[2600.4980631917156, 2.2451044077345106]",0.0,obese,0,566,0.000394792004954,obese,True
RANDOM,bmi_category,obese,5,True,True,"[1370.1832440309413, 2.216273475877606]",0.0,obese,0,143,0.0001091670128516,obese,True
RANDOM,bmi_category,obese,6,True,True,"[2224.666388640337, 2.2721400546000803]",0.0,obese,0,75,6.408301123883575e-05,obese,True
RANDOM,bmi_category,obese,7,False,False,"[891.7598325936364, 6.330140369218085]",7.745327576299231,,0,1000,0.0006859169952804,normal,False
RANDOM,bmi_category,obese,8,True,True,"[417.2826581625549, 2.103946734260509]",0.0,obese,0,12,1.0042000212706624e-05,obese,True
RANDOM,bmi_category,obese,9,False,False,"[2418.7328241219047, 11.991052863581263]",13.178170092389228,,0,1000,0.0006795419903937,underweight,False
RANDOM,bmi_category,obese,10,False,False,"[1254.8156803114923, 14.683205753316386]",24.179797523808297,,0,1000,0.0006838330009486,underweight,False
RANDOM,bmi_category,obese,11,True,True,"[750.0101434182377, 4.938531946712454]",0.0,obese,0,679,0.0004665000014938,obese,True
RANDOM,bmi_category,obese,12,True,True,"[1295.176900092048, 3.733621868986514]",0.0,obese,0,929,0.000638583995169,obese,True
RANDOM,bmi_category,obese,13,True,True,"[2296.348463617004, 0.7991536775537877]",0.0,obese,0,584,0.0004046249960083,obese,True
RANDOM,bmi_category,obese,14,True,True,"[481.29013316219147, 0.024905841379929683]",0.0,obese,0,663,0.0004560000088531,obese,True
RANDOM,bmi_category,obese,15,True,True,"[2552.966271991083, 8.791416963845888]",0.0,obese,0,33,2.7166999643668532e-05,obese,True
RANDOM,bmi_category,obese,16,True,True,"[490.46257937949235, 2.8737660669734266]",0.0,obese,0,474,0.0003252499882364,obese,True
RANDOM,bmi_category,obese,17,True,True,"[1062.8711859806467, 2.7759173888480815]",0.0,obese,0,63,5.412499012891203e-05,obese,True
RANDOM,bmi_category,obese,18,True,True,"[918.5594729344263, 4.518029126232115]",0.0,obese,0,402,0.0002822919923346,obese,True
RANDOM,bmi_category,obese,19,True,True,"[1383.2056778509773, 5.540564057531339]",0.0,obese,0,728,0.0005015829956391,obese,True
RANDOM,bmi_category,obese,20,True,True,"[2961.76095730622, 4.886893366032319]",0.0,obese,0,35,3.0041992431506515e-05,obese,True
RANDOM,bmi_category,obese,21,True,True,"[2649.932032487792, 3.158850193264229]",0.0,obese,0,207,0.0001460000057704,obese,True
RANDOM,bmi_category,obese,22,False,False,"[804.1103960818022, 10.913633599314633]",23.248863729871633,,0,1000,0.0006804580043535,underweight,False
RANDOM,bmi_category,obese,23,True,True,"[2070.5406946211688, 6.527588634434922]",0.0,obese,0,341,0.0002431250031804,obese,True
RANDOM,bmi_category,obese,24,True,True,"[890.4799707769071, 3.414036364291162]",0.0,obese,0,1,2.2500025806948543e-06,obese,True
RANDOM,bmi_category,obese,25,True,True,"[2814.9502651544713, 0.7506212395863576]",0.0,obese,0,402,0.0002906249865191,obese,True
RANDOM,bmi_category,obese,26,False,False,"[945.9980754372796, 9.016169382530581]",18.36286449002288,,0,1000,0.0007202919950941,underweight,False
RANDOM,bmi_category,obese,27,True,True,"[2070.1274013277684, 5.785975644107766]",0.0,obese,0,194,0.0001429999974789,obese,True
RANDOM,bmi_category,obese,28,True,True,"[2577.551231049816, 8.198077367104872]",0.0,obese,0,73,6.187500548548996e-05,obese,True
RANDOM,bmi_category,obese,29,True,True,"[2659.652883135696, 4.81759753475719]",0.0,obese,0,176,0.0001302079908782,obese,True
RANDOM,bmi_category,overweight,0,False,False,"[2343.7797736592966, 8.8272849559623]",0.0789397460154564,,0,1000,0.0007549170113634,obese,False
RANDOM,bmi_category,overweight,1,False,False,"[881.2675601805346, 11.802199679799674]",18.67323360834116,,0,1000,0.0007590000022901,underweight,False
RANDOM,bmi_category,overweight,2,True,True,"[1069.49538835694, 6.006751364411533]",0.0,overweight,0,341,0.0002574579993961,overweight,True
RANDOM,bmi_category,overweight,3,True,True,"[2827.316793128117, 9.715663425059251]",0.0,overweight,0,127,0.0001067080011125,overweight,True
RANDOM,bmi_category,overweight,4,False,False,"[2488.9827387475398, 11.243852276171417]",5.312453339368704,,0,1000,0.0007580829988,normal,False
RANDOM,bmi_category,overweight,5,True,True,"[1850.452152615364, 8.507626328051465]",0.0,overweight,0,554,0.0004282919981051,overweight,True
RANDOM,bmi_category,overweight,6,False,False,"[1668.9125864232103, 10.370047127914228]",9.480700952168492,,0,1000,0.0007720840076217,underweight,False
RANDOM,bmi_category,overweight,7,False,False,"[2526.4594470934317, 13.664224984715979]",11.46861374454016,,0,1000,0.0007799579907441,underweight,False
RANDOM,bmi_category,overweight,8,False,False,"[1190.810946251915, 8.316871072486464]",7.784372598041112,,0,1000,0.0007396669971058,underweight,False
RANDOM,bmi_category,overweight,9,False,False,"[1903.7709867268682, 9.963423365304202]",5.8222562292755695,,0,1000,0.000732540996978,normal,False
RANDOM,bmi_category,overweight,10,False,False,"[1541.0977005010332, 9.257967619934139]",7.019621351509946,,0,1000,0.0007282909937202,underweight,False
RANDOM,bmi_category,overweight,11,False,False,"[2472.7900771886902, 10.710152694853647]",3.442623639821778,,0,1000,0.0007339580042753,normal,False
RANDOM,bmi_category,overweight,12,False,False,"[2535.25380647808, 7.784812027747945]",11.83359549546338,,0,1000,0.0007539590005762,obese,False
RANDOM,bmi_category,overweight,13,False,False,"[1328.62976255493, 14.285458697517296]",18.489482203918342,,0,1000,0.0007444999937433,underweight,False
RANDOM,bmi_category,overweight,14,False,False,"[781.3540716113932, 5.590580984387583]",0.0003472519111323,,0,1000,0.0007550000009359,normal,False
RANDOM,bmi_category,overweight,15,False,False,"[2394.614202943488, 11.331758601317187]",6.351628930138257,,0,1000,0.000737708993256,normal,False
RANDOM,bmi_category,overweight,16,False,False,"[2121.3948920534363, 7.876704399253698]",4.192624489384019,,0,1000,0.0007369579980149,obese,False
RANDOM,bmi_category,overweight,17,False,False,"[1403.4723266266988, 7.593801508157028]",0.6619738309587174,,0,1000,0.0007175420032581,normal,False
RANDOM,bmi_category,overweight,18,False,False,"[1189.0801967356242, 12.955129311451486]",17.915200234010015,,0,1000,0.0007165409915614,underweight,False
RANDOM,bmi_category,overweight,19,False,False,"[609.4946733130463, 5.217754986389878]",2.612658120239426,,0,1000,0.0007226250017993,normal,False
RANDOM,bmi_category,overweight,20,True,True,"[1304.3154349326771, 7.109633514376434]",0.0,overweight,0,634,0.0004630000039469,overweight,True
RANDOM,bmi_category,overweight,21,False,False,"[2898.3987687519875, 13.196737197669894]",8.357254419578622,,0,1000,0.0007293749949894,underweight,False
RANDOM,bmi_category,overweight,22,True,True,"[1849.1000943448971, 8.579546338860933]",0.0,overweight,0,927,0.0006666660046903,overweight,True
RANDOM,bmi_category,overweight,23,False,False,"[2818.8187106145465, 14.95680515735165]",12.399451832277537,,0,1000,0.0007200830004876,underweight,False
RANDOM,bmi_category,overweight,24,True,True,"[114.37098656279466, 1.9798527869915317]",0.0,overweight,0,878,0.0006356249941745,overweight,True
RANDOM,bmi_category,overweight,25,True,True,"[2946.69527021909, 10.845670977007394]",0.0,overweight,0,731,0.0005249579990049,overweight,True
RANDOM,bmi_category,overweight,26,False,False,"[1361.9256843292267, 8.61182631279178]",6.636186976932971,,0,1000,0.0007182499975897,underweight,False
RANDOM,bmi_category,overweight,27,True,True,"[221.69634403339245, 2.876057505175278]",0.0,overweight,0,750,0.0005353750020731,overweight,True
RANDOM,bmi_category,overweight,28,False,False,"[2826.2233603148184, 13.171903267632512]",8.710438645693012,,0,1000,0.000706041988451,underweight,False
RANDOM,bmi_category,overweight,29,False,False,"[1733.9290140085768, 20.67781277728564]",20.944709137467076,,0,1000,0.0007014169968897,underweight,False
RANDOM,bmi_category,underweight,0,True,True,"[2292.063414164853, 1407.6111304147278]",0.0,underweight,0,1,3.125009243376553e-06,underweight,True
RANDOM,bmi_category,underweight,1,True,True,"[2163.786826299906, 2957.1743242622765]",0.0,underweight,0,1,2.4999899324029684e-06,underweight,True
RANDOM,bmi_category,underweight,2,True,True,"[901.3088130039106, 1502.8895236963244]",0.0,underweight,0,1,2.166008925996721e-06,underweight,True
RANDOM,bmi_category,underweight,3,True,True,"[2334.0924176583517, 1527.8765409515688]",0.0,underweight,0,1,2.0830048015341163e-06,underweight,True
RANDOM,bmi_category,underweight,4,True,True,"[549.9401880290536, 613.8902862113059]",0.0,underweight,0,1,2.2500025806948543e-06,underweight,True
RANDOM,bmi_category,underweight,5,True,True,"[438.42741707536806, 2748.8609796534033]",0.0,underweight,0,1,2.042012056335807e-06,underweight,True
RANDOM,bmi_category,underweight,6,True,True,"[1144.4968137720678, 1755.690862833504]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,7,True,True,"[2326.738984091813, 2046.443988431896]",0.0,underweight,0,1,2.249988028779626e-06,underweight,True
RANDOM,bmi_category,underweight,8,True,True,"[2367.6481669900054, 2438.5933187543465]",0.0,underweight,0,1,2.0839943317696452e-06,underweight,True
RANDOM,bmi_category,underweight,9,True,True,"[1186.8968578184592, 1306.1010609431141]",0.0,underweight,0,1,1.9169965526089072e-06,underweight,True
RANDOM,bmi_category,underweight,10,True,True,"[340.79953790915016, 1486.0017944097813]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,11,True,True,"[1041.4254178570523, 1122.0481170502583]",0.0,underweight,0,1,2.042012056335807e-06,underweight,True
RANDOM,bmi_category,underweight,12,True,True,"[281.6787710769588, 1488.4723190590955]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,13,True,True,"[32.92110390424685, 785.2999648879032]",0.0,underweight,0,1,2.0419975044205785e-06,underweight,True
RANDOM,bmi_category,underweight,14,True,True,"[2976.404098594315, 654.5285954861581]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,15,True,True,"[1061.3370889569862, 1038.6114003624439]",0.0,underweight,0,1,1.9169965526089072e-06,underweight,True
RANDOM,bmi_category,underweight,16,True,True,"[1712.613504016607, 1957.7141886921777]",0.0,underweight,0,1,2.0830048015341163e-06,underweight,True
RANDOM,bmi_category,underweight,17,True,True,"[574.6100055575931, 1338.6950153235189]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,18,True,True,"[1289.2875022133367, 1904.001469604021]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,19,True,True,"[528.9481766971254, 836.1053594236461]",0.0,underweight,0,1,2.166008925996721e-06,underweight,True
RANDOM,bmi_category,underweight,20,True,True,"[2845.482086489548, 2969.077917309934]",0.0,underweight,0,1,2.0419975044205785e-06,underweight,True
RANDOM,bmi_category,underweight,21,True,True,"[2686.1523355382355, 105.58738776167364]",0.0,underweight,0,1,2.040993422269821e-06,underweight,True
RANDOM,bmi_category,underweight,22,True,True,"[1173.930260712478, 1336.212335027485]",0.0,underweight,0,1,1.91599247045815e-06,underweight,True
RANDOM,bmi_category,underweight,23,True,True,"[2112.4174016796205, 1239.1779459312393]",0.0,underweight,0,1,1.9169965526089072e-06,underweight,True
RANDOM,bmi_category,underweight,24,True,True,"[27.0720284944006, 2711.012225317928]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,25,True,True,"[939.8016676694899, 2308.049431882718]",0.0,underweight,0,1,2.0000006770715117e-06,underweight,True
RANDOM,bmi_category,underweight,26,True,True,"[744.9679545810454, 2898.5612583129578]",0.0,underweight,0,1,2.207991201430559e-06,underweight,True
RANDOM,bmi_category,underweight,27,True,True,"[369.1440799316498, 1707.7498445613112]",0.0,underweight,0,1,1.8749997252598405e-06,underweight,True
RANDOM,bmi_category,underweight,28,True,True,"[350.48698345825755, 1168.5155265176359]",0.0,underweight,0,1,1.958003849722445e-06,underweight,True
RANDOM,bmi_category,underweight,29,True,True,"[464.30735624595485, 861.0195983448558]",0.0,underweight,0,1,1.958003849722445e-06,underweight,True
RANDOM,list_pattern,sorted_unique,0,True,True,"[[4, 12]]",0.0,sorted_unique,0,17,4.633300704881549e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,1,True,True,"[[-13, -2]]",0.0,sorted_unique,0,11,3.170801210217178e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,2,True,True,"[[6, 9]]",0.0,sorted_unique,0,1,3.292007022537291e-06,sorted_unique,True
RANDOM,list_pattern,sorted_unique,3,True,True,"[[-9, 19]]",0.0,sorted_unique,0,2,6.499991286545992e-06,sorted_unique,True
RANDOM,list_pattern,sorted_unique,4,True,True,"[[-12, -8, 1]]",0.0,sorted_unique,0,5,1.4874996850267053e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,5,True,True,"[[-3, 7, 19]]",0.0,sorted_unique,0,23,4.966599226463586e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,6,True,True,"[[5, 9]]",0.0,sorted_unique,0,51,0.0001165419962489,sorted_unique,True
RANDOM,list_pattern,sorted_unique,7,True,True,"[[-16, -9, -4]]",0.0,sorted_unique,0,11,3.1666000722907484e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,8,True,True,"[[-18, -14]]",0.0,sorted_unique,0,14,3.679200017359108e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,9,True,True,"[[-3, 6]]",0.0,sorted_unique,0,9,2.366700209677219e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,10,True,True,"[[-9, 0, 5]]",0.0,sorted_unique,0,23,5.933399370405823e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,11,True,True,"[[-17, -5]]",0.0,sorted_unique,0,26,7.208299939520657e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,12,True,True,"[[-11, 18]]",0.0,sorted_unique,0,12,3.145799564663321e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,13,True,True,"[[-16, -10]]",0.0,sorted_unique,0,23,5.304098885972053e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,14,True,True,"[[-14, 2, 13, 14]]",0.0,sorted_unique,0,5,1.5792000340297818e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,15,True,True,"[[-7, 13]]",0.0,sorted_unique,0,8,1.983300899155438e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,16,True,True,"[[-2, 13, 16]]",0.0,sorted_unique,0,10,2.7582995244301856e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,17,True,True,"[[-10, -4, 16]]",0.0,sorted_unique,0,3,8.25000461190939e-06,sorted_unique,True
RANDOM,list_pattern,sorted_unique,18,True,True,"[[-15, 4]]",0.0,sorted_unique,0,7,1.54590088641271e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,19,True,True,"[[-12, -6]]",0.0,sorted_unique,0,16,4.354199336376041e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,20,True,True,"[[4, 20]]",0.0,sorted_unique,0,9,2.054200740531087e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,21,True,True,"[[-10, -2, 7]]",0.0,sorted_unique,0,5,1.5249999705702066e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,22,True,True,"[[-14, 16]]",0.0,sorted_unique,0,10,2.700000186450779e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,23,True,True,"[[4, 19]]",0.0,sorted_unique,0,3,6.457994459196925e-06,sorted_unique,True
RANDOM,list_pattern,sorted_unique,24,True,True,"[[-10, -2, 12]]",0.0,sorted_unique,0,6,2.012499317061156e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,25,True,True,"[[-15, 3]]",0.0,sorted_unique,0,14,3.433300298638642e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,26,True,True,"[[-19, 2]]",0.0,sorted_unique,0,1,3.0840019462630153e-06,sorted_unique,True
RANDOM,list_pattern,sorted_unique,27,True,True,"[[-16, -2]]",0.0,sorted_unique,0,6,1.3083001249469817e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,28,True,True,"[[-9, 9]]",0.0,sorted_unique,0,5,1.4083998394198716e-05,sorted_unique,True
RANDOM,list_pattern,sorted_unique,29,True,True,"[[-6, 0]]",0.0,sorted_unique,0,13,3.212501178495586e-05,sorted_unique,True
RANDOM,list_pattern,sorted_with_duplicates,0,True,True,"[[-16, -10, -10]]",0.0,sorted_with_duplicates,0,179,0.0003685830015456,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,1,True,True,"[[11, 11]]",0.0,sorted_with_duplicates,0,31,7.52909982111305e-05,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,2,True,True,"[[-11, 9, 9]]",0.0,sorted_with_duplicates,0,47,9.92920104181394e-05,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,3,True,True,"[[5, 11, 11]]",0.0,sorted_with_duplicates,0,222,0.0004498329944908,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,4,True,True,"[[-3, 1, 1, 8]]",0.0,sorted_with_duplicates,0,149,0.0003099169989582,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,5,True,True,"[[-9, 9, 9, 10]]",0.0,sorted_with_duplicates,0,113,0.0002320829953532,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,6,True,True,"[[-9, 4, 17, 17]]",0.0,sorted_with_duplicates,0,125,0.0002565419999882,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,7,True,True,"[[-12, 17, 17]]",0.0,sorted_with_duplicates,0,5,1.0957999620586634e-05,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,8,True,True,"[[-1, -1, 7]]",0.0,sorted_with_duplicates,0,100,0.0002135830000042,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,9,True,True,"[[-10, -5, -5]]",0.0,sorted_with_duplicates,0,6,1.3249999028630556e-05,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,10,True,True,"[[-9, 10, 10]]",0.0,sorted_with_duplicates,0,56,0.0001104999973904,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,11,True,True,"[[-13, -13, 6]]",0.0,sorted_with_duplicates,0,17,4.5083987060934305e-05,sorted_with_duplicates,True
RANDOM,list_pattern,sorted_with_duplicates,12,True,True,"[[-19, -19, -16]]",0.0,sorted_with_duplicates,0,235,0.0004641670093405,sorted_with_duplicates,True
